[2025-12-07 21:50:37.125] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.130] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.184] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.194] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.200] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.227] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.230] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.250] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.601] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.657] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.692] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.695] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.762] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.765] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.835] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.839] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.843] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.910] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
[2025-12-07 21:50:37.940] [PSS] [info] [35504|14920]streaming_driver_interface_impl.cpp:87 SubmitViewFrames: submit view frames {view_texture_handles: 2147496770 view_texture_handles: 2147495298 pose { orientation { } position { } }}, this= 0x21cb9839280
